adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_version,lang,lang1,lang2,lang3,adm0_en,adm2_ref_name,center_lat,center_lon
Alto Molocue,,,,MZ1101,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,6340.00369,V_01,pt,,,,Mozambique,Alto Molocue,-15.70281915,37.68077558
Ancuabe,,,,MZ0101,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,4921.244265,V_01,pt,,,,Mozambique,Ancuabe,-12.94377767,39.74416937
Angoche,,,,MZ0701,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,3018.51453,V_01,pt,,,,Mozambique,Angoche,-16.09496197,39.75708916
Angonia,,,,MZ1001,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,3260.407476,V_01,pt,,,,Mozambique,Angonia,-14.76859553,34.14376058
Balama,,,,MZ0102,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,5497.603691,V_01,pt,,,,Mozambique,Balama,-13.53985709,38.36463871
Barue,,,,MZ0401,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,5774.694873,V_01,pt,,,,Mozambique,Barue,-17.9546064,33.17919604
Bilene,,,,MZ0201,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,1664.319543,V_01,pt,,,,Mozambique,Bilene,-25.0720017,33.13600225
Boane,,,,MZ0501,Maputo,,,,MZ05,Moçambique,,,,MZ,07/06/19,,804.8593292,V_01,pt,,,,Mozambique,Boane,-26.02902667,32.385002
Buzi,,,,MZ0901,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,7226.488916,V_01,pt,,,,Mozambique,Buzi,-20.0740969,34.35770446
Cahora Bassa,,,,MZ1002,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,8846.986903,V_01,pt,,,,Mozambique,Cahora Bassa,-16.07962742,32.44225411
Caia,,,,MZ0902,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,3583.805984,V_01,pt,,,,Mozambique,Caia,-17.80075522,35.09050947
Changara,,,,MZ1003,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,6148.174336,V_01,pt,,,,Mozambique,Changara,-16.66089516,33.05037657
Chemba,,,,MZ0903,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,3977.57187,V_01,pt,,,,Mozambique,Chemba,-17.22630996,34.65169462
Cheringoma,,,,MZ0904,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,7103.764672,V_01,pt,,,,Mozambique,Cheringoma,-18.48761469,35.05105122
Chibabava,,,,MZ0905,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,6994.774983,V_01,pt,,,,Mozambique,Chibabava,-20.29887133,33.7765097
Chibuto,,,,MZ0202,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,5605.478085,V_01,pt,,,,Mozambique,Chibuto,-24.26561311,33.54905664
Chicualacuala,,,,MZ0203,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,11391.74918,V_01,pt,,,,Mozambique,Chicualacuala,-22.72903558,31.6488796
Chifunde,,,,MZ1004,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,9404.796867,V_01,pt,,,,Mozambique,Chifunde,-14.71221333,32.83057955
Chigubo,,,,MZ0204,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,10120.04477,V_01,pt,,,,Mozambique,Chigubo,-22.96543771,33.43321084
Chimbonila,,,,MZ0801,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,5417.300121,V_01,pt,,,,Mozambique,Chimbonila,-13.42345278,35.33915529
Chinde,,,,MZ1102,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,3117.018427,V_01,pt,,,,Mozambique,Chinde,-18.46787186,36.44604098
Chiure,,,,MZ0103,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,5372.19179,V_01,pt,,,,Mozambique,Chiure,-13.5455009,39.66150241
Chiuta,,,,MZ1005,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,7124.252161,V_01,pt,,,,Mozambique,Chiuta,-15.50967022,33.44035583
Chokwe,,,,MZ0205,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,2444.423714,V_01,pt,,,,Mozambique,Chokwe,-24.48702421,32.86039185
Chongoene,,,,MZ0206,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,1445.91813,V_01,pt,,,,Mozambique,Chongoene,-24.884597,33.86218413
Cidade Da Beira,,,,MZ0906,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,630.5879265,V_01,pt,,,,Mozambique,Cidade Da Beira,-19.73519889,34.90363919
Cidade Da Matola,,,,MZ0502,Maputo,,,,MZ05,Moçambique,,,,MZ,07/06/19,,367.6734164,V_01,pt,,,,Mozambique,Cidade Da Matola,-25.84427623,32.48712412
Cidade De Chimoio,,,,MZ0402,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,174.4207951,V_01,pt,,,,Mozambique,Cidade De Chimoio,-19.13449268,33.45602056
Cidade De Inhambane,,,,MZ0301,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,194.9330872,V_01,pt,,,,Mozambique,Cidade De Inhambane,-23.87363489,35.51501771
Cidade De Lichinga,,,,MZ0802,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,256.432646,V_01,pt,,,,Mozambique,Cidade De Lichinga,-13.30644444,35.26432424
Cidade De Maputo,,,,MZ0601,Maputo City,,,,MZ06,Moçambique,,,,MZ,07/06/19,,347.0238678,V_01,pt,,,,Mozambique,Cidade De Maputo,-26.03137641,32.54974244
Cidade De Nampula,,,,MZ0702,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,330.070095,V_01,pt,,,,Mozambique,Cidade De Nampula,-15.11486111,39.25954671
Cidade De Pemba,,,,MZ0104,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,100.3492198,V_01,pt,,,,Mozambique,Cidade De Pemba,-13.03077417,40.54006321
Cidade De Quelimane,,,,MZ1103,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,121.6622364,V_01,pt,,,,Mozambique,Cidade De Quelimane,-17.86662252,36.89734531
Cidade De Tete,,,,MZ1006,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,287.2782571,V_01,pt,,,,Mozambique,Cidade De Tete,-16.15839768,33.57980834
Cidade De Xai-Xai,,,,MZ0207,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,135.2780268,V_01,pt,,,,Mozambique,Cidade De Xai-Xai,-25.05006991,33.662001
Cuamba,,,,MZ0803,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,5343.690557,V_01,pt,,,,Mozambique,Cuamba,-14.74874494,36.596751
Derre,,,,MZ1104,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,4746.788288,V_01,pt,,,,Mozambique,Derre,-17.05683996,36.12293874
Doa,,,,MZ1007,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,3634.096442,V_01,pt,,,,Mozambique,Doa,-16.60597182,34.44525075
Dondo,,,,MZ0907,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,2308.075493,V_01,pt,,,,Mozambique,Dondo,-19.4392455,34.80937134
Erati,,,,MZ0703,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,5700.684058,V_01,pt,,,,Mozambique,Erati,-13.88714122,39.69587883
Funhalouro,,,,MZ0302,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,13621.4735,V_01,pt,,,,Mozambique,Funhalouro,-22.93523913,34.26614037
Gile,,,,MZ1105,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,8977.016811,V_01,pt,,,,Mozambique,Gile,-15.8807954,38.4161516
Gondola,,,,MZ0403,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,2682.548548,V_01,pt,,,,Mozambique,Gondola,-19.19051743,33.77583332
Gorongosa,,,,MZ0908,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,6778.05663,V_01,pt,,,,Mozambique,Gorongosa,-18.64445821,34.18644778
Govuro,,,,MZ0303,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,3966.797839,V_01,pt,,,,Mozambique,Govuro,-21.31753174,34.57104093
Guija,,,,MZ0208,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,4190.617117,V_01,pt,,,,Mozambique,Guija,-24.1420785,33.07137954
Guro,,,,MZ0404,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,6929.619066,V_01,pt,,,,Mozambique,Guro,-16.95429201,33.52558605
Gurue,,,,MZ1106,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,5643.448533,V_01,pt,,,,Mozambique,Gurue,-15.45446211,36.94104551
Homoine,,,,MZ0304,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,1916.957389,V_01,pt,,,,Mozambique,Homoine,-23.91427952,35.09478024
Ibo,,,,MZ0105,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,73.85200607,V_01,pt,,,,Mozambique,Ibo,-12.36675053,40.58163787
Ile,,,,MZ1107,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,2933.488666,V_01,pt,,,,Mozambique,Ile,-15.981434,37.34878942
Ilha De Moçambique,,,,MZ0704,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,181.2163706,V_01,pt,,,,Mozambique,Ilha De Mocambique,-15.05608367,40.62719065
Ilha Licom,,,,MZ0804,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,29.35220133,V_01,pt,,,,Mozambique,Ilha Licom,-12.07154961,34.7277087
Ilha Risunodo,,,,MZ0805,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,8.3923654,V_01,pt,,,,Mozambique,Ilha Risunodo,-12.0334247,34.61933666
Inharrime,,,,MZ0305,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,2747.420484,V_01,pt,,,,Mozambique,Inharrime,-24.4079169,34.71694108
Inhassoro,,,,MZ0306,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,4744.664458,V_01,pt,,,,Mozambique,Inhassoro,-21.71763984,34.84259526
Inhassunge,,,,MZ1108,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,754.4199457,V_01,pt,,,,Mozambique,Inhassunge,-18.0701961,36.82060509
Jangamo,,,,MZ0307,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,1292.6419,V_01,pt,,,,Mozambique,Jangamo,-24.15784973,35.27940935
Lago,,,,MZ0806,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,6554.967781,V_01,pt,,,,Mozambique,Lago,-12.3382249,34.9317682
Lago Niassa,,,,MZ0807,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,6932.983922,V_01,pt,,,,Mozambique,Lago Niassa,-12.52888952,34.58485361
Lalaua,,,,MZ0705,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,4531.458527,V_01,pt,,,,Mozambique,Lalaua,-14.46998802,38.09457094
Larde,,,,MZ0706,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,1844.082639,V_01,pt,,,,Mozambique,Larde,-16.36419882,39.46513674
Limpopo,,,,MZ0209,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,1636.80877,V_01,pt,,,,Mozambique,Limpopo,-25.02778452,33.38375985
Liúpo,,,,MZ0707,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,2121.207701,V_01,pt,,,,Mozambique,Liupo,-15.69364562,40.03802507
Luabo,,,,MZ1109,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,1119.504864,V_01,pt,,,,Mozambique,Luabo,-18.32316486,36.13182879
Lugela,,,,MZ1110,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,6127.503989,V_01,pt,,,,Mozambique,Lugela,-16.32914446,36.70061921
Mabalane,,,,MZ0210,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,8928.851921,V_01,pt,,,,Mozambique,Mabalane,-23.58014903,32.74124724
Mabote,,,,MZ0308,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,15334.40922,V_01,pt,,,,Mozambique,Mabote,-22.10322226,33.99015111
Macanga,,,,MZ1008,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,7196.312615,V_01,pt,,,,Mozambique,Macanga,-14.71503718,33.53790259
Macate,,,,MZ0405,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,1780.222381,V_01,pt,,,,Mozambique,Macate,-19.36928412,33.53112546
Machanga,,,,MZ0909,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,5716.005726,V_01,pt,,,,Mozambique,Machanga,-20.91472884,34.56549896
Machaze,,,,MZ0406,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,13295.64673,V_01,pt,,,,Mozambique,Machaze,-20.92701762,33.20656268
Macomia,,,,MZ0106,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,4191.017706,V_01,pt,,,,Mozambique,Macomia,-12.03646541,40.16671223
Macossa,,,,MZ0407,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,9563.110049,V_01,pt,,,,Mozambique,Macossa,-18.03041078,33.85177958
Maganja Da Costa,,,,MZ1111,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,2872.842335,V_01,pt,,,,Mozambique,Maganja Da Costa,-17.34394687,37.43321725
