PROVINCIA,DISTRITO,NIVEL_ACESSO_CUIDADOS_PRIMARIOS,NIVEL_ACESSO_HOSPITAL,NIVEL_ACESSO_EDUCACAO,NIVEL_DE_PRECOS,NIVEL_DE_VEGETACAO,NIVEL_DE_PRECIPITACAO,NIVEL_SEGURANCA_CIVIS,NIVEL_MANIFESTACOES,NIVEL_VIOLENCIA_POLITICA,NIVEL_PRE_NATAL,NIVEL_SEM_PRE_NATAL,NIVEL_PARTO_UNIDADE,NIVEL_PARTO_ASSISTIDO,NIVEL_POS_NATAL_MAE,NIVEL_POS_NATAL_BEBE,NIVEL_TRATAMENTO_DIARREIA,NIVEL_MULHERES_ENSINO,NIVEL_HOMENS_ENSINO,NIVEL_MULHERES_ALFABETIZADAS,NIVEL_HOMENS_ALFABETIZADOS,NIVEL_MULHERES_ANALFABETAS,NIVEL_HOMENS_ANALFABETAS,NIVEL_ACESSO_AEREO,NIVEL_FONTE_MELHORADA,NIVEL_AGUA_CANALIZADA,NIVEL_AGUA_NO_DOMICILIO,NIVEL_TRATAMENTO_ADEQUADO,NIVEL_FONTE_NAO_MELHORADA,NIVEL_RENDIMENTO,NIVEL_CHOQUE_PRECO_ALIMENTOS,NIVEL_CHOQUE_PRECO_COMBUSTIVEL,NIVEL_CHOQUE_PERDA_EMPREGO,NIVEL_CHOQUE_SECA,NIVEL_CHOQUE_CHEIAS,NIVEL_CHOQUE_DOENCA_MORTE,NIVEL_NECESSIDADE_ALIMENTOS,NIVEL_NECESSIDADE_DINHEIRO,NIVEL_DE_POBREZA
Cabo Delgado,Ancuabe,Alto,Alto,Médio,Muito Baixo,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Balama,Muito Alto,Muito Baixo,Médio,Médio,Muito Baixa,Muito Baixo,Baixo,Muito Alto,Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Chiure,Alto,Alto,Alto,Médio,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Cidade De Pemba,Muito Alto,Muito Alto,Muito Alto,Alto,Média,Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Ibo,Muito Alto,Muito Alto,Muito Alto,Baixo,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Macomia,Muito Alto,Muito Alto,Muito Alto,Baixo,Média,Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Mecufi,Alto,Médio,Baixo,Muito Baixo,Baixa,Baixo,Médio,Muito Alto,Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Meluco,Alto,Médio,Baixo,Baixo,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Metuge,Muito Alto,Muito Alto,Alto,Baixo,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Mocimboa Da Praia,Alto,Muito Alto,Muito Alto,Baixo,Alta,Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
