name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,education,DISTANCE,35000,school_age,3,0.0,3,0.0
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,education,DISTANCE,35000,total,6,0.0,6,0.0
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,education,DISTANCE,40000,school_age,88,0.03,85,0.03
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,education,DISTANCE,40000,total,152,0.03,146,0.03
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,education,DISTANCE,45000,school_age,189,0.07,101,0.04
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,education,DISTANCE,45000,total,327,0.07,175,0.04
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,education,DISTANCE,50000,school_age,491,0.19,302,0.11
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,education,DISTANCE,50000,total,847,0.19,520,0.11
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,5000,school_age,5036,6.58,5036,6.58
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,5000,total,9381,6.59,9381,6.59
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,10000,school_age,6868,8.98,1832,2.4
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,10000,total,12792,8.98,3411,2.39
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,15000,school_age,9312,12.18,2444,3.2
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,15000,total,17345,12.18,4553,3.2
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,20000,school_age,13628,17.82,4316,5.64
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,20000,total,25384,17.82,8039,5.64
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,25000,school_age,21629,28.28,8001,10.46
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,25000,total,40286,28.28,14902,10.46
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,30000,school_age,24673,32.26,3044,3.98
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,30000,total,45956,32.26,5670,3.98
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,35000,school_age,31155,40.73,6482,8.48
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,35000,total,58029,40.73,12073,8.47
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,40000,school_age,33877,44.29,2722,3.56
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,40000,total,63099,44.29,5070,3.56
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,45000,school_age,37873,49.52,3996,5.22
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,45000,total,70541,49.52,7442,5.22
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,50000,school_age,40834,53.39,2961,3.87
Ancuabe,,85939544B12924931865401,MOZ,ADM2,education,DISTANCE,50000,total,76057,53.39,5516,3.87
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,5000,school_age,17245,8.87,17245,8.87
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,5000,total,32066,8.87,32066,8.87
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,10000,school_age,21335,10.97,4090,2.1
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,10000,total,39670,10.97,7604,2.1
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,15000,school_age,25325,13.02,3990,2.05
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,15000,total,47090,13.02,7420,2.05
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,20000,school_age,31952,16.43,6627,3.41
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,20000,total,59410,16.43,12320,3.41
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,25000,school_age,39012,20.06,7060,3.63
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,25000,total,72538,20.06,13128,3.63
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,30000,school_age,44409,22.84,5397,2.78
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,30000,total,82573,22.84,10035,2.78
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,35000,school_age,50637,26.04,6228,3.2
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,35000,total,94153,26.04,11580,3.2
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,40000,school_age,60149,30.93,9512,4.89
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,40000,total,111838,30.93,17685,4.89
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,45000,school_age,65015,33.44,4866,2.5
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,45000,total,120886,33.44,9048,2.5
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,50000,school_age,66647,34.27,1632,0.84
Angoche,,85939544B28799715012212,MOZ,ADM2,education,DISTANCE,50000,total,123922,34.27,3036,0.84
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,5000,school_age,13558,6.3,13558,6.3
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,5000,total,24309,6.3,24309,6.3
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,10000,school_age,20813,9.68,7255,3.37
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,10000,total,37316,9.68,13007,3.37
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,15000,school_age,33355,15.51,12542,5.83
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,15000,total,59798,15.51,22482,5.83
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,20000,school_age,47072,21.88,13717,6.38
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,20000,total,84391,21.88,24593,6.38
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,25000,school_age,59742,27.77,12670,5.89
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,25000,total,107105,27.77,22714,5.89
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,30000,school_age,76623,35.62,16881,7.85
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,30000,total,137371,35.62,30266,7.85
