name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,600,adults,18846,4.32,18846,4.32
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,600,elderly,674,4.31,674,4.31
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,600,school_age,11419,4.32,11419,4.32
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,600,total,19673,4.32,19673,4.32
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,600,under_5,3732,4.32,3732,4.32
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,600,women_childbearing,4576,4.32,4576,4.32
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1200,adults,21577,4.95,2731,0.63
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1200,elderly,772,4.94,98,0.63
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1200,school_age,13074,4.95,1655,0.63
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1200,total,22524,4.95,2851,0.63
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1200,under_5,4272,4.95,540,0.63
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1200,women_childbearing,5239,4.95,663,0.63
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1800,adults,25035,5.74,3458,0.79
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1800,elderly,896,5.73,124,0.79
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1800,school_age,15169,5.74,2095,0.79
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1800,total,26133,5.74,3609,0.79
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1800,under_5,4957,5.74,685,0.79
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,1800,women_childbearing,6079,5.74,840,0.79
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,2400,adults,36661,8.4,11626,2.67
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,2400,elderly,1313,8.4,417,2.67
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,2400,school_age,22214,8.4,7045,2.67
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,2400,total,38268,8.4,12135,2.66
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,2400,under_5,7259,8.4,2302,2.66
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,2400,women_childbearing,8901,8.4,2822,2.66
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,3000,adults,45027,10.32,8366,1.92
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,3000,elderly,1612,10.32,299,1.91
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,3000,school_age,27283,10.32,5069,1.92
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,3000,total,47002,10.32,8734,1.92
