name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,600,adults,27290,6.26,27290,6.26
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,600,elderly,977,6.25,977,6.25
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,600,school_age,16535,6.26,16535,6.26
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,600,total,28487,6.26,28487,6.26
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,600,under_5,5404,6.26,5404,6.26
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,600,women_childbearing,6626,6.26,6626,6.26
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1200,adults,38264,8.77,10974,2.52
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1200,elderly,1370,8.77,393,2.52
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1200,school_age,23185,8.77,6650,2.52
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1200,total,39943,8.77,11456,2.52
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1200,under_5,7577,8.77,2173,2.52
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1200,women_childbearing,9291,8.77,2665,2.52
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1800,adults,50878,11.66,12614,2.89
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1800,elderly,1822,11.66,452,2.89
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1800,school_age,30828,11.66,7643,2.89
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1800,total,53109,11.66,13166,2.89
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1800,under_5,10074,11.66,2497,2.89
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,primary_healthcare,TIME,1800,women_childbearing,12354,11.66,3063,2.89
