ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
MOZ,Niassa,6584539,Antenatal care provider: Doctor,0.2,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431001,1431001,Region,Niassa,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431001,1997,DHS,218,368,,,1
MOZ,Niassa,5418685,Antenatal care provider: Doctor,0.3,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431001,1431001,Region,Niassa,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431001,1997,DHS,169,286,,,1
MOZ,Cabo Delgado,4267379,Antenatal care provider: Doctor,1.1,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431002,1431002,Region,Cabo Delgado,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431002,1997,DHS,214,234,,,1
MOZ,Cabo Delgado,1351130,Antenatal care provider: Doctor,1.3,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431002,1431002,Region,Cabo Delgado,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431002,1997,DHS,162,181,,,1
MOZ,Nampula,5675413,Antenatal care provider: Doctor,0.3,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431003,1431003,Region,Nampula,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431003,1997,DHS,631,397,,,1
MOZ,Nampula,5222314,Antenatal care provider: Doctor,0.3,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431003,1431003,Region,Nampula,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431003,1997,DHS,478,307,,,1
MOZ,Zambézia,5384529,Antenatal care provider: Doctor,0,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431004,1431004,Region,Zambézia,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431004,1997,DHS,540,261,,,1
MOZ,Zambézia,3030711,Antenatal care provider: Doctor,0,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431004,1431004,Region,Zambézia,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431004,1997,DHS,418,193,,,1
MOZ,Tete,1339909,Antenatal care provider: Doctor,8.5,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431005,1431005,Region,Tete,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431005,1997,DHS,177,260,,,1
MOZ,Tete,7845133,Antenatal care provider: Doctor,10,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431005,1431005,Region,Tete,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431005,1997,DHS,139,206,,,1
MOZ,Manica,7449913,Antenatal care provider: Doctor,1,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431006,1431006,Region,Manica,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431006,1997,DHS,277,458,,,1
MOZ,Manica,4274364,Antenatal care provider: Doctor,1.4,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431006,1431006,Region,Manica,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431006,1997,DHS,198,336,,,1
MOZ,Sofala,3009757,Antenatal care provider: Doctor,0.3,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431007,1431007,Region,Sofala,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431007,1997,DHS,592,467,,,1
MOZ,Sofala,5690050,Antenatal care provider: Doctor,0.2,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431007,1431007,Region,Sofala,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431007,1997,DHS,405,344,,,1
MOZ,Inhambane,6684275,Antenatal care provider: Doctor,0.7,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431008,1431008,Region,Inhambane,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431008,1997,DHS,339,313,,,1
MOZ,Inhambane,6997513,Antenatal care provider: Doctor,0.5,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431008,1431008,Region,Inhambane,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431008,1997,DHS,264,236,,,1
MOZ,Gaza,7515640,Antenatal care provider: Doctor,0.5,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431009,1431009,Region,Gaza,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431009,1997,DHS,428,374,,,1
MOZ,Gaza,4065239,Antenatal care provider: Doctor,0,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431009,1431009,Region,Gaza,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431009,1997,DHS,329,279,,,1
MOZ,Maputo Provincia,1356302,Antenatal care provider: Doctor,15.8,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431010,1431010,Region,Maputo Provincia,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431010,1997,DHS,220,262,,,1
MOZ,Maputo Provincia,4637600,Antenatal care provider: Doctor,16.4,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431010,1431010,Region,Maputo Provincia,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431010,1997,DHS,175,195,,,1
MOZ,Maputo Cidade,5081952,Antenatal care provider: Doctor,6.8,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431011,1431011,Region,Maputo Cidade,14000,Three years preceding the survey,0,0,RHANCPWDOC,MZDHS1997431011,1997,DHS,186,338,,,1
MOZ,Maputo Cidade,3016472,Antenatal care provider: Doctor,6.6,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_DOC,83363010,I,431011,1431011,Region,Maputo Cidade,14002,Two years preceding the survey,0,1,RHANCPWDOC,MZDHS1997431011,1997,DHS,131,245,,,1
MOZ,Niassa,6584479,Antenatal care provider: Nurse/midwife,67.6,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_NRS,83363020,I,431001,1431001,Region,Niassa,14000,Three years preceding the survey,0,0,RHANCPWNRS,MZDHS1997431001,1997,DHS,218,368,,,1
MOZ,Niassa,5418688,Antenatal care provider: Nurse/midwife,67.2,1,MZ,Mozambique,1997,MZ1997DHS,RH_ANCP_W_NRS,83363020,I,431001,1431001,Region,Niassa,14002,Two years preceding the survey,0,1,RHANCPWNRS,MZDHS1997431001,1997,DHS,169,286,,,1
