location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,cereals and tubers,Maize meal,25 KG,actual,Retail,MZN,1150,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,cereals and tubers,Rice,25 KG,actual,Retail,MZN,1850,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,cereals and tubers,Sweet potatoes,KG,actual,Retail,MZN,100,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,MZN,300,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,"meat, fish and eggs",Fish,500 G,actual,Retail,MZN,300,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,miscellaneous food,Salt (iodised),KG,actual,Retail,MZN,50,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,miscellaneous food,Sugar,KG,actual,Retail,MZN,100,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,oil and fats,Oil (vegetable),5 L,actual,Retail,MZN,750,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,pulses and nuts,Beans (butter),KG,actual,Retail,MZN,100,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,pulses and nuts,Cowpeas,KG,actual,Retail,MZN,50,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,pulses and nuts,Groundnuts,KG,actual,Retail,MZN,150,2026-03-15,2026-04-14
MOZ,True,True,Cabo_Delgado,Ancuabe,MZ01,Cabo Delgado,MZ0101,Ancuabe,2,Ancuabe (rural),-12.96,39.84,vegetables and fruits,Carrots,KG,actual,Retail,MZN,100,2026-03-15,2026-04-14
