location_code,has_hrp,in_gho,provider_admin1_name,admin1_code,admin1_name,admin_level,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end
MOZ,True,True,,,,0,0.5126,83.8561,61.1228,8.5493,64.907,2003-01-01,2003-12-31
MOZ,True,True,,,,0,0.4004,71.1565,56.2725,14.0686,46.7979,2011-01-01,2011-12-31
MOZ,True,True,,,,0,0.3302,59.8541,55.1671,17.0609,38.3217,2022-01-01,2023-12-31
MOZ,True,True,Cabo Delgado,MZ01,Cabo Delgado,1,0.5908,94.6501,62.4176,4.16,76.0363,2003-01-01,2003-12-31
MOZ,True,True,Cabo Delgado,MZ01,Cabo Delgado,1,0.531,87.6211,60.5996,8.5985,67.0319,2011-01-01,2011-12-31
MOZ,True,True,Cabo Delgado,MZ01,Cabo Delgado,1,0.4209,73.6103,57.1771,13.9787,49.8121,2022-01-01,2023-12-31
MOZ,True,True,Gaza,MZ02,Gaza,1,0.5075,85.9484,59.0417,9.5036,62.0451,2003-01-01,2003-12-31
MOZ,True,True,Gaza,MZ02,Gaza,1,0.3389,64.4233,52.6105,17.2657,37.3509,2011-01-01,2011-12-31
MOZ,True,True,Gaza,MZ02,Gaza,1,0.1472,32.6616,45.0543,26.1811,11.2197,2022-01-01,2023-12-31
MOZ,True,True,Inhambane,MZ03,Inhambane,1,0.4859,82.9556,58.5677,11.0396,60.5198,2003-01-01,2003-12-31
MOZ,True,True,Inhambane,MZ03,Inhambane,1,0.3473,67.4079,51.5261,18.4415,38.3411,2011-01-01,2011-12-31
MOZ,True,True,Inhambane,MZ03,Inhambane,1,0.1855,41.8703,44.2956,24.6498,13.5013,2022-01-01,2023-12-31
MOZ,True,True,Manica,MZ04,Manica,1,0.5097,85.1111,59.8844,10.5042,63.2765,2003-01-01,2003-12-31
MOZ,True,True,Manica,MZ04,Manica,1,0.2921,59.4321,49.1526,22.1001,26.6173,2011-01-01,2011-12-31
MOZ,True,True,Manica,MZ04,Manica,1,0.2736,53.2546,51.3839,24.8581,28.101,2022-01-01,2023-12-31
MOZ,True,True,Maputo,MZ05,Maputo,1,0.2847,57.8405,49.2282,20.169,26.4092,2003-01-01,2003-12-31
MOZ,True,True,Maputo,MZ05,Maputo,1,0.1418,30.5155,46.4689,22.1592,10.9499,2011-01-01,2011-12-31
MOZ,True,True,Maputo,MZ05,Maputo,1,0.05,11.1833,44.6674,16.3865,3.5679,2022-01-01,2023-12-31
MOZ,True,True,Maputo City,MZ06,Maputo City,1,0.1384,30.4723,45.4058,24.2775,10.1725,2003-01-01,2003-12-31
MOZ,True,True,Maputo City,MZ06,Maputo City,1,0.0416,10.0501,41.3953,21.9946,1.942,2011-01-01,2011-12-31
MOZ,True,True,Maputo City,MZ06,Maputo City,1,0.014,3.8406,36.3674,10.4553,0.0,2022-01-01,2023-12-31
MOZ,True,True,Nampula,MZ07,Nampula,1,0.571,90.6124,63.0187,6.5758,73.9843,2003-01-01,2003-12-31
MOZ,True,True,Nampula,MZ07,Nampula,1,0.4414,78.2097,56.4355,12.8895,51.8808,2011-01-01,2011-12-31
MOZ,True,True,Nampula,MZ07,Nampula,1,0.434,74.5218,58.2424,15.0717,53.1882,2022-01-01,2023-12-31
MOZ,True,True,Niassa,MZ08,Niassa,1,0.5964,94.1249,63.3592,3.9057,78.0413,2003-01-01,2003-12-31
MOZ,True,True,Niassa,MZ08,Niassa,1,0.4644,81.5779,56.9244,11.5531,55.8759,2011-01-01,2011-12-31
MOZ,True,True,Niassa,MZ08,Niassa,1,0.4259,75.1984,56.6407,14.9517,50.4488,2022-01-01,2023-12-31
MOZ,True,True,Sofala,MZ09,Sofala,1,0.524,84.243,62.1994,7.8436,64.947,2003-01-01,2003-12-31
MOZ,True,True,Sofala,MZ09,Sofala,1,0.3766,69.7183,54.0244,13.4827,41.8431,2011-01-01,2011-12-31
MOZ,True,True,Sofala,MZ09,Sofala,1,0.3038,56.6616,53.61,14.5453,33.3912,2022-01-01,2023-12-31
MOZ,True,True,Tete,MZ10,Tete,1,0.5908,91.2382,64.7486,4.7912,77.4142,2003-01-01,2003-12-31
MOZ,True,True,Tete,MZ10,Tete,1,0.4766,81.6979,58.3403,12.1881,58.3487,2011-01-01,2011-12-31
MOZ,True,True,Tete,MZ10,Tete,1,0.3435,64.0343,53.6475,20.944,40.1482,2022-01-01,2023-12-31
MOZ,True,True,Zambezia,MZ11,Zambezia,1,0.5981,95.3338,62.739,3.0236,80.4447,2003-01-01,2003-12-31
MOZ,True,True,Zambezia,MZ11,Zambezia,1,0.5152,87.213,59.0711,9.4953,63.5063,2011-01-01,2011-12-31
MOZ,True,True,Zambezia,MZ11,Zambezia,1,0.4213,76.1064,55.3611,14.4676,51.2209,2022-01-01,2023-12-31
