ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
MOZ,Niassa,6417680,Women with secondary or higher education,4,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431001,1431001,Region,Niassa,0,,0,1,EDLITRWSCH,MZDHS2003431001,2003,DHS,476,819,,,1
MOZ,Cabo Delgado,2993679,Women with secondary or higher education,1.9,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431002,1431002,Region,Cabo Delgado,0,,0,1,EDLITRWSCH,MZDHS2003431002,2003,DHS,1071,899,,,1
MOZ,Nampula,5994777,Women with secondary or higher education,3.6,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431003,1431003,Region,Nampula,0,,0,1,EDLITRWSCH,MZDHS2003431003,2003,DHS,2403,1217,,,1
MOZ,Zambézia,1408975,Women with secondary or higher education,2.6,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431004,1431004,Region,Zambézia,0,,0,1,EDLITRWSCH,MZDHS2003431004,2003,DHS,1906,1135,,,1
MOZ,Tete,5733515,Women with secondary or higher education,5.1,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431005,1431005,Region,Tete,0,,0,1,EDLITRWSCH,MZDHS2003431005,2003,DHS,1025,1115,,,1
MOZ,Manica,3906035,Women with secondary or higher education,5,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431006,1431006,Region,Manica,0,,0,1,EDLITRWSCH,MZDHS2003431006,2003,DHS,809,1094,,,1
MOZ,Sofala,3188602,Women with secondary or higher education,7.3,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431007,1431007,Region,Sofala,0,,0,1,EDLITRWSCH,MZDHS2003431007,2003,DHS,865,1220,,,1
MOZ,Inhambane,3512215,Women with secondary or higher education,6.4,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431008,1431008,Region,Inhambane,0,,0,1,EDLITRWSCH,MZDHS2003431008,2003,DHS,1088,1125,,,1
MOZ,Gaza,4177111,Women with secondary or higher education,6.4,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431009,1431009,Region,Gaza,0,,0,1,EDLITRWSCH,MZDHS2003431009,2003,DHS,666,1273,,,1
MOZ,Maputo Provincia,6920349,Women with secondary or higher education,15.4,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_SCH,231233010,I,431010,1431010,Region,Maputo Provincia,0,,0,1,EDLITRWSCH,MZDHS2003431010,2003,DHS,1050,1125,,,1
