date,adm_level,adm_id,PCODE,n_pixels,vim,vim_avg,viq
2022-01-01,1,900948,MZ01,2587.0,0.6051023,0.7241729,84.61964
2022-01-11,1,900948,MZ01,2587.0,0.6804101,0.7663123,89.4768
2022-01-21,1,900948,MZ01,2587.0,0.7366067,0.7924006,93.3768
2022-02-01,1,900948,MZ01,2587.0,0.77902234,0.81034064,96.35979
2022-02-11,1,900948,MZ01,2587.0,0.80680835,0.82111055,98.35817
2022-02-21,1,900948,MZ01,2587.0,0.82344186,0.8270866,99.58445
2022-03-01,1,900948,MZ01,2587.0,0.83361053,0.8302369,100.38327
2022-03-11,1,900948,MZ01,2587.0,0.8393468,0.8311447,100.93085
2022-03-21,1,900948,MZ01,2587.0,0.84032077,0.82914245,101.2715
2022-04-01,1,900948,MZ01,2587.0,0.8372279,0.8235728,101.56313
2022-04-11,1,900948,MZ01,2587.0,0.83051324,0.813942,101.9181
2022-04-21,1,900948,MZ01,2587.0,0.8196806,0.79937124,102.3911
2022-05-01,1,900948,MZ01,2587.0,0.8039202,0.7795337,102.93978
2022-05-11,1,900948,MZ01,2587.0,0.7826055,0.7546924,103.468796
2022-05-21,1,900948,MZ01,2587.0,0.75411177,0.7239577,103.89608
2022-06-01,1,900948,MZ01,2587.0,0.7208343,0.68969136,104.21026
2022-06-11,1,900948,MZ01,2587.0,0.6858826,0.6548989,104.395485
2022-06-21,1,900948,MZ01,2587.0,0.64863735,0.61915123,104.4065
2022-07-01,1,900948,MZ01,2587.0,0.6105776,0.5840733,104.18
2022-07-11,1,900948,MZ01,2587.0,0.5730047,0.5478307,104.21089
2022-07-21,1,900948,MZ01,2587.0,0.53502285,0.5132755,103.86087
2022-08-01,1,900948,MZ01,2587.0,0.49921528,0.48121345,103.38881
2022-08-11,1,900948,MZ01,2587.0,0.46772122,0.45373467,102.77657
2022-08-21,1,900948,MZ01,2587.0,0.43822044,0.42877495,101.972855
2022-09-01,1,900948,MZ01,2587.0,0.4129462,0.40843213,100.984665
2022-09-11,1,900948,MZ01,2587.0,0.393218,0.39413163,99.7943
2022-09-21,1,900948,MZ01,2587.0,0.37795487,0.3854134,98.287025
2022-10-01,1,900948,MZ01,2587.0,0.36754778,0.38302064,96.42676
2022-10-11,1,900948,MZ01,2587.0,0.36278164,0.38790503,94.26282
2022-10-21,1,900948,MZ01,2587.0,0.3657833,0.4020767,91.97185
2022-11-01,1,900948,MZ01,2587.0,0.37949938,0.42634633,90.16537
2022-11-11,1,900948,MZ01,2587.0,0.40514845,0.45971045,89.29549
2022-11-21,1,900948,MZ01,2587.0,0.4443475,0.50287724,89.41361
2022-12-01,1,900948,MZ01,2587.0,0.49710354,0.55431044,90.53352
2022-12-11,1,900948,MZ01,2587.0,0.56068724,0.6102859,92.488304
