id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2975,FQMA,large_airport,"Maputo Airport",-25.920799,32.572601,145,AF,Mozambique,MZ,"Maputo (city)",MZ-MPM,MPM,Maputo,1,FQMA,FQMA,MPM,,,https://en.wikipedia.org/wiki/Maputo_International_Airport,,1050,2019-01-13T13:37:44+00:00
2980,FQNP,large_airport,"Nampula Airport",-15.1056,39.281799,1444,AF,Mozambique,MZ,"Nampula Province",MZ-N,N,Nampula,1,FQNP,FQNP,APL,,,https://en.wikipedia.org/wiki/Nampula_Airport,,1000,2026-02-11T14:24:51+00:00
2970,FQBR,large_airport,"Beira International Airport",-19.7964,34.9076,33,AF,Mozambique,MZ,"Sofala Province",MZ-S,S,Beira,1,FQBR,FQBR,BEW,,,https://en.wikipedia.org/wiki/Beira_Airport,,1000,2025-12-23T22:02:58+00:00
2981,FQPB,medium_airport,"Pemba Airport",-12.993302,40.524867,331,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Pemba,1,FQPB,FQPB,POL,,,https://en.wikipedia.org/wiki/Pemba_Airport,"Porto Amelia",750,2025-03-17T10:38:04+00:00
2986,FQVL,medium_airport,"Vilankulo Airport",-22.018400192260742,35.31330108642578,46,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,Vilanculo,1,FQVL,FQVL,VNX,,,https://en.wikipedia.org/wiki/Vilankulo_Airport,"Vilanculos Airport",750,2009-07-08T22:08:31+00:00
2984,FQTT,large_airport,"Tete Airport",-16.104799,33.640202,525,AF,Mozambique,MZ,"Tete Province",MZ-T,T,Tete,1,FQTT,FQTT,TET,,,https://en.wikipedia.org/wiki/Chingozi_Airport,"Chingozi Airport, Matundo Airport",1000,2026-02-11T14:23:01+00:00
2972,FQIN,medium_airport,"Inhambane Airport",-23.8764,35.408501,30,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,Inhambane,1,FQIN,FQIN,INH,,,https://en.wikipedia.org/wiki/Inhambane_Airport,,750,2021-01-26T23:25:36+00:00
2971,FQCH,medium_airport,"Chimoio Airport",-19.15130043029785,33.42900085449219,2287,AF,Mozambique,MZ,"Manica Province",MZ-B,B,Chimoio,1,FQCH,FQCH,VPY,,,https://en.wikipedia.org/wiki/Chimoio_Airport,,750,2009-07-08T17:04:51+00:00
2982,FQQL,medium_airport,"Quelimane Airport",-17.855499267578125,36.86909866333008,36,AF,Mozambique,MZ,"Zambezia Province",MZ-Q,Q,Quelimane,1,FQQL,FQQL,UEL,,,https://en.wikipedia.org/wiki/Quelimane_Airport,,750,2009-07-08T22:00:58+00:00
27302,IBL,medium_airport,"Indigo Bay Lodge Airport",-21.708,35.452801,20,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,"Bazaruto Island",0,,,IBL,,,https://en.wikipedia.org/wiki/Indigo_Bay_Lodge_Airport,,250,2016-06-02T08:26:25+00:00
2973,FQLC,medium_airport,"Lichinga Airport",-13.274,35.2663,4505,AF,Mozambique,MZ,"Niassa Province",MZ-A,A,Lichinga,1,FQLC,FQLC,VXC,,,https://en.wikipedia.org/wiki/Lichinga_Airport,,750,2018-02-16T11:19:24+00:00
27301,BCW,medium_airport,"Benguera Island Airport",-21.8533,35.438301,,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,"Benguera Island",0,,,BCW,,,https://en.wikipedia.org/wiki/Benguera_Island_Airport,,500,2024-01-25T01:33:56+00:00
2977,FQMP,medium_airport,"Mocímboa da Praia Airport",-11.3618,40.3549,89,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,"Mocímboa da Praia",0,FQMP,FQMP,MZB,,,https://en.wikipedia.org/wiki/Moc%C3%ADmboa_da_Praia_Airport,,250,2024-05-20T13:24:20+00:00
2976,FQMD,medium_airport,"Mueda Airport",-11.6729,39.563099,2789,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Mueda,0,FQMD,FQMD,MUD,,,https://en.wikipedia.org/wiki/Mueda_Airport,,250,2024-05-16T19:44:22+00:00
29706,FQBI,small_airport,"Bilene Airport",-25.265985,33.238598,118,AF,Mozambique,MZ,"Gaza Province",MZ-G,G,Bilene,0,FQBI,FQBI,,,,https://en.wikipedia.org/wiki/Bilene_Airport,,50,2025-06-07T12:49:34+00:00
29974,FQIA,small_airport,"Inhaca Airport",-25.9971446991,32.929351806599996,10,AF,Mozambique,MZ,"Maputo Province",MZ-L,L,Inhaca,0,FQIA,FQIA,IHC,,,https://en.wikipedia.org/wiki/Inhaca_Airport,,50,2012-03-18T12:07:32+00:00
2974,FQLU,small_airport,"Lumbo Airport",-15.0331,40.6717,33,AF,Mozambique,MZ,"Nampula Province",MZ-N,N,Lumbo,0,FQLU,FQLU,LFB,,,https://en.wikipedia.org/wiki/Lumbo_Airport,,50,2024-05-16T19:44:06+00:00
2978,FQMR,small_airport,"Marrupa Airport",-13.2251,37.552101,2480,AF,Mozambique,MZ,"Niassa Province",MZ-A,A,Marrupa,0,FQMR,FQMR,,,,https://en.wikipedia.org/wiki/Marrupa_Airport,,50,2025-06-07T12:51:04+00:00
27304,MZ-0005,small_airport,"Paradise Island Airport",-21.614999771118,35.338001251221,30,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,"Santa Carolina",0,,,NTC,,,,"Santa Carolina Airport",50,2015-12-22T06:07:18+00:00
2979,FQNC,medium_airport,"Nacala International Airport",-14.4882,40.7122,410,AF,Mozambique,MZ,"Nampula Province",MZ-N,N,Nacala,1,FQNC,FQNC,MNC,,,https://en.wikipedia.org/wiki/Nacala_Airport,,500,2026-02-11T16:29:33+00:00
27300,BZB,medium_airport,"Bazaruto Island Airport",-21.5411,35.4729,,AF,Mozambique,MZ,"Inhambane Province",MZ-I,I,"Bazaruto Island",0,,,BZB,,,https://en.wikipedia.org/wiki/Bazaruto_Island_Airport,,250,2016-06-01T06:37:01+00:00
32579,FQXA,small_airport,"Xai-Xai Chongoene Airport",-24.892909,33.753024,291,AF,Mozambique,MZ,"Gaza Province",MZ-G,G,Xai-Xai,1,FQXA,FQXA,VJB,,,https://en.wikipedia.org/wiki/Xai-Xai_Chongoene_Airport,,100,2025-09-19T17:54:36+00:00
301755,AME,small_airport,"Alto Molocue Airport",-15.6102777778,37.6813888889,1950,AF,Mozambique,MZ,"Zambezia Province",MZ-Q,Q,"Alto Molocue",0,,,AME,,,,,50,2012-06-17T14:25:53+00:00
29661,FQAG,small_airport,"Angoche Airport",-16.18187,39.945217,121,AF,Mozambique,MZ,"Nampula Province",MZ-N,N,Angoche,0,FQAG,FQAG,ANO,,,https://en.wikipedia.org/wiki/Angoche_Airport,,50,2024-04-07T06:13:26+00:00
311902,CMZ,small_airport,"Caia Airport",-17.8331,35.3341,156,AF,Mozambique,MZ,"Sofala Province",MZ-S,S,Caia,0,,,CMZ,,,,,50,2022-01-20T02:00:09+00:00
319257,MZ-0040,small_airport,"Catandica Airport",-18.136596,33.202238,,AF,Mozambique,MZ,"Manica Province",MZ-B,B,Catandica,0,,,,,,,,50,2016-06-29T08:35:48+00:00
