ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
MOZ,Niassa,7691291,Number of households,547,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431001,1431001,Region,Niassa,0,,0,1,HCORPHHNUM,MZDHS1997431001,1997,DHS,,900,,,1
MOZ,Cabo Delgado,7140323,Number of households,761,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431002,1431002,Region,Cabo Delgado,0,,0,1,HCORPHHNUM,MZDHS1997431002,1997,DHS,,860,,,1
MOZ,Nampula,1153148,Number of households,1766,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431003,1431003,Region,Nampula,0,,0,1,HCORPHHNUM,MZDHS1997431003,1997,DHS,,1067,,,1
MOZ,Zambézia,3527656,Number of households,1755,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431004,1431004,Region,Zambézia,0,,0,1,HCORPHHNUM,MZDHS1997431004,1997,DHS,,1008,,,1
MOZ,Tete,1168423,Number of households,418,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431005,1431005,Region,Tete,0,,0,1,HCORPHHNUM,MZDHS1997431005,1997,DHS,,670,,,1
MOZ,Manica,4862473,Number of households,432,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431006,1431006,Region,Manica,0,,0,1,HCORPHHNUM,MZDHS1997431006,1997,DHS,,782,,,1
MOZ,Sofala,7485126,Number of households,993,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431007,1431007,Region,Sofala,0,,0,1,HCORPHHNUM,MZDHS1997431007,1997,DHS,,941,,,1
MOZ,Inhambane,1175348,Number of households,820,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431008,1431008,Region,Inhambane,0,,0,1,HCORPHHNUM,MZDHS1997431008,1997,DHS,,812,,,1
MOZ,Gaza,6251456,Number of households,784,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431009,1431009,Region,Gaza,0,,0,1,HCORPHHNUM,MZDHS1997431009,1997,DHS,,826,,,1
MOZ,Maputo Provincia,4479285,Number of households,573,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431010,1431010,Region,Maputo Provincia,0,,0,1,HCORPHHNUM,MZDHS1997431010,1997,DHS,,628,,,1
MOZ,Maputo Cidade,7452210,Number of households,433,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_NUM,260861050,D,431011,1431011,Region,Maputo Cidade,0,,0,1,HCORPHHNUM,MZDHS1997431011,1997,DHS,,788,,,1
MOZ,Niassa,7690879,Number of households (unweighted),900,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431001,1431001,Region,Niassa,0,,0,1,HCORPHHUNW,MZDHS1997431001,1997,DHS,547,,,,1
MOZ,Cabo Delgado,774315,Number of households (unweighted),860,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431002,1431002,Region,Cabo Delgado,0,,0,1,HCORPHHUNW,MZDHS1997431002,1997,DHS,761,,,,1
MOZ,Nampula,289314,Number of households (unweighted),1067,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431003,1431003,Region,Nampula,0,,0,1,HCORPHHUNW,MZDHS1997431003,1997,DHS,1766,,,,1
MOZ,Zambézia,4001980,Number of households (unweighted),1008,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431004,1431004,Region,Zambézia,0,,0,1,HCORPHHUNW,MZDHS1997431004,1997,DHS,1755,,,,1
MOZ,Tete,1168455,Number of households (unweighted),670,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431005,1431005,Region,Tete,0,,0,1,HCORPHHUNW,MZDHS1997431005,1997,DHS,418,,,,1
MOZ,Manica,733569,Number of households (unweighted),782,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431006,1431006,Region,Manica,0,,0,1,HCORPHHUNW,MZDHS1997431006,1997,DHS,432,,,,1
MOZ,Sofala,7498300,Number of households (unweighted),941,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431007,1431007,Region,Sofala,0,,0,1,HCORPHHUNW,MZDHS1997431007,1997,DHS,993,,,,1
MOZ,Inhambane,2941514,Number of households (unweighted),812,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431008,1431008,Region,Inhambane,0,,0,1,HCORPHHUNW,MZDHS1997431008,1997,DHS,820,,,,1
MOZ,Gaza,3411700,Number of households (unweighted),826,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431009,1431009,Region,Gaza,0,,0,1,HCORPHHUNW,MZDHS1997431009,1997,DHS,784,,,,1
