ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
MOZ,Niassa,7694147,Households using an improved water source,3.3,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431001,1431001,Region,Niassa,0,,0,1,WSSRCEHIMP,MZDHS1997431001,1997,DHS,547,900,,,1
MOZ,Cabo Delgado,637163,Households using an improved water source,36.4,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431002,1431002,Region,Cabo Delgado,0,,0,1,WSSRCEHIMP,MZDHS1997431002,1997,DHS,761,860,,,1
MOZ,Nampula,3020954,Households using an improved water source,13.6,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431003,1431003,Region,Nampula,0,,0,1,WSSRCEHIMP,MZDHS1997431003,1997,DHS,1766,1067,,,1
MOZ,Zambézia,6430566,Households using an improved water source,6.9,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431004,1431004,Region,Zambézia,0,,0,1,WSSRCEHIMP,MZDHS1997431004,1997,DHS,1755,1008,,,1
MOZ,Tete,6830335,Households using an improved water source,10.4,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431005,1431005,Region,Tete,0,,0,1,WSSRCEHIMP,MZDHS1997431005,1997,DHS,418,670,,,1
MOZ,Manica,4858135,Households using an improved water source,12.6,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431006,1431006,Region,Manica,0,,0,1,WSSRCEHIMP,MZDHS1997431006,1997,DHS,432,782,,,1
MOZ,Sofala,7485876,Households using an improved water source,19.4,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431007,1431007,Region,Sofala,0,,0,1,WSSRCEHIMP,MZDHS1997431007,1997,DHS,993,941,,,1
MOZ,Inhambane,7102363,Households using an improved water source,11.9,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431008,1431008,Region,Inhambane,0,,0,1,WSSRCEHIMP,MZDHS1997431008,1997,DHS,820,812,,,1
MOZ,Gaza,5819949,Households using an improved water source,21,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431009,1431009,Region,Gaza,0,,0,1,WSSRCEHIMP,MZDHS1997431009,1997,DHS,784,826,,,1
MOZ,Maputo Provincia,1174797,Households using an improved water source,61.7,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_IMP,250161010,I,431010,1431010,Region,Maputo Provincia,0,,0,1,WSSRCEHIMP,MZDHS1997431010,1997,DHS,573,628,,,1
