id,tipo,valor,descricao,latitude,longitude,estado,dimensao (m²)
eb78b02ff5b187e4ce5b6534c46879f1,Apartamento T3,11000000.0,,-25.9672043421,32.581956356,Novo,200
39ad173bf026dbcfc2b82dd21743e913,Apartamento T2,17800000.0,,-25.9662375074,32.5814859242,Novo,130
419fe5813c32b5648ed53ad1b06f6379,Apartamento T3,30960000.0,,-25.9681634848,32.5795510449,Novo,200
2787aea806ac94217253689886bf6b5e,Apartamento,120000.0,,-25.9733420386,32.5931151991,Novo,390
71b8efa2083efe90f9f316fcbe35c0c2,Apartamento T3,24800000.0,"Vender : Apartamento T3 Penthouse mobiliado na Av Marginal - Global Alliance 

Descrições do imóvel: 

Quartos com roupeiros (1suite)
Sala ampla
Cozinha equipada 
WC geral
2 Andar último 
Terraço independente 
Piscina independente no terraço 
Excelente vista para o mar 
Copa
Arrecadação 
WC de serviço 
Estacionamento 2viaturas 

Venda: 24.800.000 MT neg
Renda: 3.700 USD

Para mais informações sobre o imóvel, não hesite em nos contactar",-25.971375517,32.5854595821,Usado,220
b9c26f9e13ab754e235c742c047be54e,Apartamento T3,11000000.0,"Bairro da Sommerchield, Av. Mao Tsé Tung, próximo do Café Estoril, Agência Golo...


Zona nobre e privilegiada. 





Detalhes complementares imóvel:



 7° andar(com elevador e ship novo)
 Varandas com boa vista 
 Sala de estar e jantar 
 3 quartos com guada-fatos
 3 Wc’s(2 normais + 1 serviçal)
 Cozinha com armários 
 Área de serviços 
 Água 24hrs 
 Termo-acumulador
 Parcialmente climatizado 
 O apartamento possui compartimentos espaçosos.





Extras:



 Tranquilidade


 Estacionamento em frente ao prédio 


 Segurança 24hrs 


 Condomínio organizado. 







Venda: 11.000.000Mzn


Renda: 45000Mzn",-25.968346347,32.5795299098,Usado,184
8814eedc4033a3e3727b777bdd008868,Apartamento T3,26000000.0,,-25.9697651862,32.584150345,Novo,180
7816580d9a6b1cb49580af611440ffc4,Apartamento,100000.0,,-25.9401688937,32.609421085,Novo,230
1ce001a5500f13814b3ca4ed57826e10,Apartamento T1,13500000.0,"Vender : Excelente Apartamento T1 localizado na zona da Polana, concretamente no condomínio Acraya 

Descrição do imóvel: 

- 1 quarto suíte 
- 1 casa de banho geral
- 1 Sala ampla 
- Cozinha moderna fechada e equipada
- Piscina
- Ginásio
- Área de lazer
- Segurança 24h
- Estacionamento para 1 carro 

Preço : 13.500 000 mzn 

Para mais informações sobre o imóvel, não hesite em nos contactar",-25.9663927671,32.5844355194,Novo,110
f37f1e14d9e488b843b5d706954a1044,Apartamento T1,13500000.0,,-25.9664925349,32.5838417347,Novo,100
16e183b6d93594bef480c561595a3b19,Apartamento T2,5600000.0,"Endereço com alguns detalhes:





 Bairro da Malhangalene *B*, Rua da Resistência, próximo dos correios, Chicken Hut...








 O apartamento situa-se no 1° andar num prédio com 3 andares, estacionamento e segurança 24hrs.








 Adequado para escritório ou habitação. 


















Dados complementares:








 Dois(2) quartos 





 Uma casa de banho 





 Sala de estar/jantar





 Cozinha simples com armários 





 Área de serviços 





 Corredor 





 4 Varandas





 Água 24hrs 




Dependência no terraço 




 Estacionamento em frente do prédio 











Venda: 5.600.000Mzn

























 (telefone)",-25.9716834379,32.5873280477,Renovado,144
643acd0e4b65b7e47de0fe9e7b15ecfa,Apartamento T3,22500000.0,"Apartamento de luxo no condomínio Roi residence na Sommerschield 1, disponível para venda


Descrição do imóvel:


- 3 quartos modernos(2 suítes)
- Sala ampla e moderna
- Cozinha americana equipada
- Climatizada
- Casa de banho comum
- Varandas
- Gerador(comum)
- Estacionamento
- Receção
- Segurança


Preço : 22.500 000 mzn


Para mais informações sobre o imóvel, não hesite em nos contactar",-25.9642910384,32.5843572647,Novo,180
9d7a19199cadd9b89f59c27eda260c3c,Apartamento T2+1,19500000.0,"VENDEMOS APARTAMENTOS NA SOMMERSCHIELD CONDOMÍNIO MAYA RESIDENCE - MAPUTO

Tipologias Disponíveis:
Preço T2: 280.000 USD 300.000 USD 
Preço T3: 450.000 USD 500.000 USD 
Preço T4: 520.000 USD 
Preço T5: 900.000 USD 

Localização:
 Endereço: Avenida Julius Nyerere, Bairro da Sommerschield 2

 Parte exterior:
 Piscina moderna 
 Ginásio equipado 
 Sauna / Steam Room 
 Arrecadação individual 
 Gerador para o condomínio 
 Tanque de água de 110 toneladas 
 Ar condicionado quente e frio 
 Eletrodomésticos incluídos (exceto geleira e máquina de lavar roupa) 

Para mais informações:
+ (telefone) WhatsApp/Chamada 
+ (telefone) só Chamada 
Palácio Imobiliária",-25.9690820068,32.5806644621,Novo,160
6586ebc843848c2e698185c997c615e9,Apartamento T2,18060000.0,"INVESTIMENTO DE LUXO EM MAPUTO | MAYA RESIDENCE
Se procura exclusividade, conforto e valorização imobiliária, esta é a oportunidade perfeita!
Apresentamos os apartamentos luxuosos do Condomínio Maya Residence, um empreendimento de construção turca com acabamentos de alto padrão, pensado para quem deseja viver ou investir com classe.
 Condomínio com comodidades PREMIUM:
 Piscina moderna
 Ginásio totalmente equipado
 Sauna / Steam Room
 Arrecadação individual para cada apartamento
 Gerador para toda a área do condomínio
 Tanque de água com capacidade de 110 toneladas
 Ar condicionado quente e frio
 Eletrodomésticos incluídos (exceto geleira e máquina de lavar roupa)
 Tipologias disponíveis:
 T2: 280.000 USD 300.000 USD
 T3: 450.000 USD 500.000 USD
 T4: 520.000 USD
 T5: 900.000 USD
Ideal para habitação própria ou investimento de alto padrão.
 Localização privilegiada numa das zonas mais procuradas da cidade

LUXURY INVESTMENT IN MAPUTO | MAYA RESIDENCE
If you are looking for exclusivity, comfort and real estate appreciation, this is the perfect opportunity!

We present the luxurious apartments of the Maya Residence Condominium, a Turkish-built development with high-end finishes, designed for those who wish to live or invest in style.

 Condominium with PREMIUM amenities:
 Modern swimming pool
 Fully equipped gym
 Sauna / Steam Room
 Individual storage room for each apartment
 Generator for the entire condominium area
 Water tank with a capacity of 110 tons
 Hot and cold air conditioning
 Appliances included (except refrigerator and washing machine)
 Available apartment types:
 2-bedroom: USD 280,000 USD 300,000
 3-bedroom: USD 450,000 USD 500,000
 4-bedroom: USD 520,000
 5-bedroom: USD 900,000

Ideal for owner-occupancy or high-end investment.

 Prime location in one of the most sought-after areas of the city.

Mais Informações Contacte
Entre no Website e encontre mais imóveis
Telefone: + (telefone) Chamadas/Whatsapp
Telefone: + (telefone) Chamadas/Whatsapp
Website:  (url)  
E-Mail:  (email)",-25.9675959966,32.5807511558,Novo,120
a84536579bb35ae8f265a48341c350d4,Apartamento T3+2,19500000.0,"Vendemos no Edifício: Golf Residence apartamento T3

As características do imóvel:
 3 Quartos com roupeiros;
 1 Suite;
 1 Casa de banho social
 1 Casa de Banho de serviço 
 Area de Serviço 
 Vista ao mar
 Piscina Comum 
 Ginásio 
 Espaço de lazer
 Garagem para 2 carros 
 Segurança 24 horas
 Bairro da Somerchield 2

Preço: 19.500.000,Mt

Para mais informações:
+ (telefone) WhatsApp/Chamada 
+ (telefone) só Chamada 
Palácio Imobiliária",-25.9689288254,32.5812011672,Novo,200
a04d96651f42e037e755c943c1859845,Apartamento T4,54825000.0,"Apartamento T4 no ZEN 
VENDE-SE 
Valor : U$D 850 000 
Localizado na Condomínio ZEN Residence Avenida Marginal, no bairro da Sommerschild 2, em Maputo.
Apartamento T4 
- 4 quartos com suíte 
- 2 casas de banho 
- 2 cozinhas americanas 
- 2 salas espaçosas 
- 2 vistas para o mar e para a cidade 
- Áreas comuns: ginásio e piscina 
- 2 lugares de estacionamento 

4-Bedroom Apartment in ZEN Residence
FOR SALE
Price: USD 850,000
Located in the ZEN Residence Condominium Avenida Marginal, in the Sommerschild 2 neighborhood, Maputo.
4-Bedroom Apartment
- 4 bedrooms with ensuite bathrooms
- 2 bathrooms
- 2 American-style kitchens
- 2 spacious living rooms
- 2 views: sea and city
- Common areas: gym and swimming pool
- 2 parking spaces
Mais Informações Contacte
Entre no Website e encontre mais imóveis
Telefone: + (telefone) Chamadas/Whatsapp
Telefone: + (telefone) Chamadas/Whatsapp
Website:  (url)  
E-Mail:  (email)",-25.9680758783,32.58457825,Usado,450
717e22d784e31bb0fb710c98689d7f50,Apartamento T2,13000000.0,"Apartamento T2 no Shopping 24
VENDE-SE APARTAMENTO T2 NO CONDOMÍNIO SHOPPING 24
*(Av. 24 De Julho)*
VENDA: 13.000.000MT
T2
3 WC no total 
1 Suit
1wc Geral
1 wc de serviço. 
Sala Ampla Espaçosa 
Cozinha Americana Equipada 
Máquina de lavar roupa
Máquina de lavar louça 
Geleira 
Fogão embutido 
Microondas 
Área de serviço com 1wc 
Segurança 24Horas 
Parqueamento para 1 carro
Piscina 
Gerador que sustenta áreas comuns 

2-Bedroom Apartment in Shopping 24
2-Bedroom Apartment for Sale in Shopping 24 Condominium
*(Av. 24 De Julho)*
SALE: 13,000,000MT
2-Bedroom Apartment
3 Bathrooms in Total
1 Suite
1 General Bathroom
1 Service Bathroom.

Large and Spacious Living Room

Equipped American Kitchen

Washing Machine

Dishwasher

Refrigerator

Built-in Stove

Microwave

Service Area with 1 Bathroom

24-Hour Security

Parking for 1 Car

Swimming Pool

Generator to Power Common Areas

Entre no Website e encontre mais imóveis
Telefone: + (telefone) Chamadas/Whatsapp
Telefone: + (telefone) Chamadas/Whatsapp
Website:  (url)  
E-Mail:  (email)",-25.9631571747,32.5825706909,Usado,120
d814d9aab18d8450eac16561308b6887,Apartamento T3,25800000.0,,-25.9645867409,32.5848890718,Usado,190
3a5f7edb6b953b556c164b63941fdc41,Apartamento T3,19000000.0,"Endereço com alguns detalhes:


 Bairro da Polana Cimento *A*, Av. Armando Tivane, próximo do Polana Shopping.


 Zona privilegiada e nobre da cidade de Maputo.


 O Polana Plaza é um edifício recém-construído e moderno com recepção, 3 elevadores, geradores, ginásio, sauna, piscina, área de lazer, estacionamento e segurança 24hrs.







Detalhes complementares do apartamento:


 8° andar(com cómodos amplos)

 Três quartos(1 suite)

 Closets

 Casa de banho de conveniência

 Casa de banho para funcionários 

 Sala de estar e jantar 

 Corredor

 Varandas com vista espetacular 

 Cozinha moderna equipada

 Área de serviços

 Água 24hrs

 Termo-acumulador

 Ar-condicionados

 Vaga de estacionamento para um automóvel 









Venda: 19.000.000Mzn(negociáveis)








Mais informações: + (telefone)",-25.9682779689,32.589988949,Novo,165
cfbd0ea3a4d791939a6fc3f829cc02ec,Apartamento T3+1,28800000.0,"VENDEMOS APARTAMENTOS NA SOMMERSCHIELD CONDOMÍNIO MAYA RESIDENCE - MAPUTO

Tipologias Disponíveis:
Preço T2: 280.000 USD 300.000 USD 
Preço T3: 450.000 USD 500.000 USD 
Preço T4: 520.000 USD 
Preço T5: 900.000 USD 

Localização:
 Endereço: Avenida Julius Nyerere, Bairro da Sommerschield 2

 Parte exterior:
 Piscina moderna 
 Ginásio equipado 
 Sauna / Steam Room 
 Arrecadação individual 
 Gerador para o condomínio 
 Tanque de água de 110 toneladas 
 Ar condicionado quente e frio 
 Eletrodomésticos incluídos (exceto geleira e máquina de lavar roupa) 

Para mais informações:
+ (telefone) WhatsApp/Chamada 
+ (telefone) só Chamada 
Palácio Imobiliária",-25.9641462641,32.5836646401,Novo,200
88a3e76c6e6bfbb2ff92cab775081384,Apartamento T2,13500000.0,,-25.9665548327,32.5787211121,Novo,140
ec5d4781b0a4077dc20417153649558e,Apartamento T3,13500000.0,"Vende-se
Apartamento na polana 

- T3 no terceiro andar /último ,2 wcs internas ,sendo uma suíte e 1 externa.
- Condomínio fechado limpo e seguro 
- Estacionamento para 2 carros 
Bairro da Somerschield, *proximidades do Comando do Exército, Clube Militar .

Preço : 13.500 000 mzn 

Código: 0M1A1SS1A1N1GAi

Para mais informações sobre o imóvel, não hesite em nos contactar",-25.9647037466,32.5827406287,Usado,170
6e3e57907921a106d69198329e92ae26,Apartamento T4,32250000.0,"Vende-se Apartamentos num projecto de um prédio curto na Av. Julios nherere, na Sommerschield 2.
Apartamentos no condomínio Maya Residence, edifício em construção com piscina, ginásio, estacionamento e vista ao mar
T2 265k
T3 480k 
T4 500k

Apartments for sale in a short building project on Av. Julios nherere, at Sommerschield 2.
Apartments in the Maya Residence condominium, building under construction with swimming pool, gym, parking and sea views
T2 265k
T3 480k
T4 500k

Mais Informações Contacte
Entre no Website e encontre mais imóveis
Telefone: + (telefone) Chamadas/Whatsapp
Telefone: + (telefone) Chamadas/Whatsapp
Website:  (url)  
E-Mail:  (email)",-25.9690643323,32.5890415939,Novo,350
4cf5ef688b8741ce8c781b419c6b7baf,Apartamento T3,27800000.0,"Apartamento T3 no Aura Residence 
EDIFÍCIO AURAAPARTAMENTO T3 MOBILADO| ARRENDAMENTO
Arrenda-se: Excelente Apartamento T3 Mobilado no Edifício Aura na Av. Para o Palmar, Marítimo, no Bairro da Sommerschield 2.
Renda: 430.000,00 USD
3 Quartos (1 Suit) c/ Varanda
3 wc Total (2 Casas de Banho Geral)
Sala de Estar e de Jantar
Cozinha Moderna
Varanda com Vista a Cidade e ao Mar
Edifício com:
Área de Lazer no Terraço
Ginásio
Piscina
Lojas
Estacionamento

3-Bedroom Apartment in Aura Residence
AURA BUILDINGFURNISHED 3-BEDROOM APARTMENT| FOR RENT
For rent: Excellent furnished 3-bedroom apartment in the Aura Building on Avenida Para o Palmar, Marítimo, in the Sommerschield 2 neighborhood.
Income: 430,000.00 USD
3 Bedrooms (1 Suite) with Balcony
3 bathrooms in total (2 general bathrooms)
Living and dining room
Modern kitchen
Balcony with city and sea views
Building with:
Recreation area on the terrace
Gym
Swimming pool
Shops
Parking
Mais Informações Contacte
Entre no Website e encontre mais imóveis
Telefone: + (telefone) Chamadas/Whatsapp
Telefone: + (telefone) Chamadas/Whatsapp
Website:  (url)  
E-Mail:  (email)",-25.9648680154,32.5834847626,Usado,190
5dc17c0ae235dce8bcb866e9de3c9094,Apartamento T2,13000000.0,,-25.9649130336,32.5817092188,Usado,120
fffc4f2b260cc645898863860380a7d1,Apartamento T2,120000.0,,-25.9689634125,32.582628447,Usado,150
da44c573231da6136c5c8bf67b9712f0,Apartamento T2,130000.0,,-25.9685976811,32.5888242404,Novo,140
61b35415d5533fe5d9788a6c8bc663f1,Apartamento T2,95000.0,,-25.9700648065,32.581297744,Novo,150
bc8ec70ae40d52708c66f66b425034b3,Apartamento T3,120000.0,,-25.9674406351,32.580406797,Usado,165
ebc5aee0ec4408ac61160a68e5ecc301,Apartamento T2,100000.0,,-25.9716167985,32.5802750329,Usado,155
a52f7dc57bdba34301c118490904b451,Apartamento T3,35000.0,"Endereço com alguns detalhes:


 Bairro da Polana Cimento *A*, Av. dos Mártires de Mueda, próximo do Hotel Cardoso, cancela presidencial...
 

 Zona nobre e privilegiada. 


 O apartamento situa-se no 15° andar com elevador num prédio alto com estacionamento, segurança 24hrs e condomínio organizado. 






Outros aspectos complementares:


 Três quartos


 Guarda-roupas 


 Uma casa de banho moderna 


 Sala de estar/jantar


 Cozinha com armários 


 Varandas com bela vista


 Água(24hrs)


 Termo-acumulador 


 Estacionamento para 1 automóvel 








+ (telefone)",-25.9655269502,32.5831873112,Usado,146
dc2de5f9d5c30302cd983dce5e1b2fca,Apartamento T3,115000.0,"Apartamento T3 no Green View 
Arrenda-se 
Apartamento Tipologia 3 com 1 quartos suíte num prédio novo
Localização: Av Julius Nyerere Sommershield 2 no condomínio GREEN View 
Características:
.3 quartos na qual 1 são suíte e todos com arrumos
.Sala espaçosa XL
.Varandas
. Área de serviços
.Total de wc(03)
.Corredor de acesso
.Cozinha moderna
.Elevadores novos
.Segurança 24h
.Area de lazer
.Piscina
Valor: 115.000 MZN INCLUINDO 

3-Bedroom Apartment for Rent in Green View
3-bedroom apartment with 1 en-suite bedroom in a new building
Location: Av Julius Nyerere Sommershield 2 in the GREEN View condominium
Features:
.3 bedrooms, 1 en-suite, all with storage
.Spacious XL living room
.Balconies
.Service area
.Total of 3 bathrooms
.Access corridor
.Modern kitchen
.New elevators
.24-hour security
.Leisure area
.Swimming pool
Price: 115,000 MZN INCLUDING

Mais Informações Contacte
Entre no Website e encontre mais imóveis
Telefone: + (telefone) Chamadas/Whatsapp
Telefone: + (telefone) Chamadas/Whatsapp
Website:  (url)  
E-Mail:  (email)",-25.9680522358,32.585154574,Usado,170
f91dc763452ae04984e8df6e1124bb19,Apartamento T2,87000.0,"Arrendar: 
Confortável apartamento T2 localizado no prestigiado Condomínio Umran, na Polana

Descrição do imóvel: 

- Rês do chão
- 2 Quartos (1 suíte)
- Sala espaçosa
- Varanda panorâmica
- Cozinha funcional + área de serviço
- Boa iluminação natural
Áreas comuns:
- Segurança 24h
- Gerador
- Recepção
- Visitas disponíveis a partir de 27 de Abril

Renda: 87.000 MT ( 1.360 USD)

Para mais informações sobre o imóvel, não hesite em nos contactar",-25.9664828497,32.5837962105,Novo,120
e9360df577a11d0d3f6eddf4a87596ca,Apartamento T3,193500.0,"Apartamento t3 no Park Moza
Renda : 3.000 USD
3 WCs no Total 
. 3 Quartos | 1 en-suit 
. Cozinha equipada 
. Sala espaçosa 
. Mobilado
. Climatizado 
. Banheiros 
. Varandas com vista mar
. Piscina
. Ginásio 
. Parqueamento 
Av.da Marginal / Sommerschield 2",-25.9682802457,32.5884292171,Usado,190
